date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:24	242030/242030	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Aug%202023%2003:26:25%20GMT	https://roboslot.site/	D:/BAHAN%20TEST/roboslotv2/roboslot.site/index.html	(from )
10:26:24	168/168	---M-Z	200	added ('OK')	text/plain	etag:%2263f98c6e9b7d61:0%22	https://roboslot.site/robots.txt		(from )
10:26:25	16448/16448	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220e650ff7eb0d91:0%22	https://roboslot.site/fonts/glyphicons-halflings-regular.woff	D:/BAHAN%20TEST/roboslotv2/roboslot.site/fonts/glyphicons-halflings-regular.woff	(from https://roboslot.site/)
10:26:25	182708/182708	---M--	200	added ('OK')	application/font-woff2	etag:%220e650ff7eb0d91:0%22	https://roboslot.site/fonts/Lato-Regular.woff2	D:/BAHAN%20TEST/roboslotv2/roboslot.site/fonts/Lato-Regular.woff2	(from https://roboslot.site/)
10:26:25	24388/24388	---M--	200	added ('OK')	application/font-woff2	etag:%220e650ff7eb0d91:0%22	https://roboslot.site/fonts/lato-bold.woff2	D:/BAHAN%20TEST/roboslotv2/roboslot.site/fonts/lato-bold.woff2	(from https://roboslot.site/)
10:26:25	6100/6100	---M--	200	added ('OK')	application/font-woff2	etag:%220e650ff7eb0d91:0%22	https://roboslot.site/fonts/Open24DisplaySt.woff2	D:/BAHAN%20TEST/roboslotv2/roboslot.site/fonts/Open24DisplaySt.woff2	(from https://roboslot.site/)
10:26:26	1565/1565	---M--	200	added ('OK')	image/png	etag:%22efafa23c9c2d91:0%22	https://api2-rbs.tr8ngames.com/images/favicon_4569a267-9c86-4a34-bd39-70d0cab7a43d_1690709322897.png	D:/BAHAN%20TEST/roboslotv2/api2-rbs.tr8ngames.com/images/favicon_4569a267-9c86-4a34-bd39-70d0cab7a43d_1690709322897.png	(from https://roboslot.site/)
10:26:26	176145/176145	---M-Z	200	added ('OK')	text/css	date:Sun,%2006%20Aug%202023%2003:26:27%20GMT	https://roboslot.site/Content/nexus-beta-desktop-css?v=PB_obxryOKh0zHxfNJG40gnTPE_HVOzFl1L9yeYXp4k1	D:/BAHAN%20TEST/roboslotv2/roboslot.site/Content/nexus-beta-desktop-cssb5a6.css	(from https://roboslot.site/)
10:26:26	5437/5437	---M-Z	200	added ('OK')	text/css	date:Sun,%2006%20Aug%202023%2003:26:27%20GMT	https://roboslot.site/Content/Home/nexus-beta-desktop-css?v=blYW0a40BEUW8lv-7grHIDwL6xAQMF8RP8r8Qrnxikc1	D:/BAHAN%20TEST/roboslotv2/roboslot.site/Content/Home/nexus-beta-desktop-css5cbc.css	(from https://roboslot.site/)
10:26:26	23081/23081	---M-Z	200	added ('OK')	text/css	date:Sun,%2006%20Aug%202023%2003:26:27%20GMT	https://roboslot.site/Content/Theme/nexus-beta-desktop-light-blue-css?v=LSHgIKw3tJTwboSN4E4q9d65AxRCPDCfcUsfqWomcSM1	D:/BAHAN%20TEST/roboslotv2/roboslot.site/Content/Theme/nexus-beta-desktop-light-blue-css0f49.css	(from https://roboslot.site/)
10:26:27	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Aug%202023%2003:26:28%20GMT	https://i.postimg.cc/7PV19WRY/whatsapp-gif-2.gif	D:/BAHAN%20TEST/roboslotv2/i.postimg.cc/7PV19WRY/whatsapp-gif-2.8.delayed	(from https://roboslot.site/)
10:26:27	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2006%20Aug%202023%2003:26:28%20GMT	https://i.postimg.cc/m2x9nSNb/RTP-DANA178-Nexus-mwyhqb-15.gif	D:/BAHAN%20TEST/roboslotv2/i.postimg.cc/m2x9nSNb/RTP-DANA178-Nexus-mwyhqb-15.gif	(from https://roboslot.site/)
10:26:28	2057/2057	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2009:00:44%20GMT	https://annabakerydelight.shop/wakanda/1messagebleft.min.css	D:/BAHAN%20TEST/roboslotv2/annabakerydelight.shop/wakanda/1messagebleft.min.css	(from https://roboslot.site/)
10:26:29	1114/1114	---M--	200	added ('OK')	image/gif	etag:%220c3abd379a2d61:0%22	http://nx-cdn.trgwl.com/Images/icons/expand.gif?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/icons/expandf281.gif	(from https://roboslot.site/)
10:26:29	1113/1113	---M--	200	added ('OK')	image/gif	etag:%220c3abd379a2d61:0%22	http://nx-cdn.trgwl.com/Images/icons/collapse.gif?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/icons/collapsef281.gif	(from https://roboslot.site/)
10:26:29	1845/1845	---M--	200	added ('OK')	image/png	etag:%220c3abd379a2d61:0%22	http://nx-cdn.trgwl.com/Images/icons/play.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/icons/playf281.png	(from https://roboslot.site/)
10:26:29	6992/6992	---M--	200	added ('OK')	image/png	etag:%220b84e5275c7d61:0%22	http://nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_444444_256x240.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_444444_256x240f281.png	(from https://roboslot.site/)
10:26:30	6988/6988	---M--	200	added ('OK')	image/png	etag:%220b84e5275c7d61:0%22	http://nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_555555_256x240.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_555555_256x240f281.png	(from https://roboslot.site/)
10:26:30	6299/6299	---M--	200	added ('OK')	image/png	etag:%220b84e5275c7d61:0%22	http://nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_ffffff_256x240.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_ffffff_256x240f281.png	(from https://roboslot.site/)
10:26:30	4549/4549	---M--	200	added ('OK')	image/png	etag:%220b84e5275c7d61:0%22	http://nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_777620_256x240.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_777620_256x240f281.png	(from https://roboslot.site/)
10:26:30	4549/4549	---M--	200	added ('OK')	image/png	etag:%220b84e5275c7d61:0%22	http://nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_cc0000_256x240.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_cc0000_256x240f281.png	(from https://roboslot.site/)
10:26:31	6999/6999	---M--	200	added ('OK')	image/png	etag:%220b84e5275c7d61:0%22	http://nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_777777_256x240.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/jquery-ui/ui-icons_777777_256x240f281.png	(from https://roboslot.site/)
10:26:32	73292/73292	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Aug%202023%2003:26:32%20GMT	https://roboslot.site/mobile/home	D:/BAHAN%20TEST/roboslotv2/roboslot.site/mobile/home.html	(from https://roboslot.site/)
10:26:33	24953/24953	---M--	200	added ('OK')	image/png	etag:%220fba6e5e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/light-blue/desktop/layout/flags.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/nexus-beta/light-blue/desktop/layout/flagsf281.png	(from https://roboslot.site/)
10:26:33	11707/11707	---M--	200	added ('OK')	image/png	etag:%22c565e922c9c2d91:0%22	https://api2-rbs.tr8ngames.com/images/logo_4569a267-9c86-4a34-bd39-70d0cab7a43d_1690709322897.png	D:/BAHAN%20TEST/roboslotv2/api2-rbs.tr8ngames.com/images/logo_4569a267-9c86-4a34-bd39-70d0cab7a43d_1690709322897.png	(from https://roboslot.site/)
10:26:34	242030/242030	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Aug%202023%2003:26:33%20GMT	https://roboslot.site/desktop/home	D:/BAHAN%20TEST/roboslotv2/roboslot.site/desktop/home.html	(from https://roboslot.site/)
10:26:34	227037/227037	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Aug%202023%2003:26:34%20GMT	https://roboslot.site/desktop/hot-games	D:/BAHAN%20TEST/roboslotv2/roboslot.site/desktop/hot-games.html	(from https://roboslot.site/)
10:26:36	253787/253787	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Aug%202023%2003:26:35%20GMT	https://roboslot.site/desktop/slots/pragmatic	D:/BAHAN%20TEST/roboslotv2/roboslot.site/desktop/slots/pragmatic.html	(from https://roboslot.site/)
10:26:36	6704/6704	---M--	200	added ('OK')	image/png	etag:%22028d8e6e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/light-blue/desktop/providers/shortcuts/pp.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/nexus-beta/light-blue/desktop/providers/shortcuts/ppf281.png	(from https://roboslot.site/)
10:26:37	6955/6955	---M--	200	added ('OK')	image/png	etag:%22028d8e6e5c8d61:0%22	http://nx-cdn.trgwl.com/Images/nexus-beta/light-blue/desktop/providers/shortcuts/trg.png?v=20230711-1	D:/BAHAN%20TEST/roboslotv2/nx-cdn.trgwl.com/Images/nexus-beta/light-blue/desktop/providers/shortcuts/trgf281.png	(from https://roboslot.site/)
10:26:37	253344/253344	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Aug%202023%2003:26:36%20GMT	https://roboslot.site/desktop/slots/microgaming	D:/BAHAN%20TEST/roboslotv2/roboslot.site/desktop/slots/microgaming.html	(from https://roboslot.site/)
